*it=0 cost=1.763630986213684 creg=0.38791229248046877
(0.32740000000000002, 0.79679999999999995, 0.96760000000000002)
(0.33579999999999999, 0.80669999999999997, 0.9698)
*it=1000 cost=2.0556743144989014 creg=0.3864133834838867
(0.27279999999999999, 0.74170000000000003, 0.95699999999999996)
(0.26889999999999997, 0.73950000000000005, 0.95489999999999997)
*it=2000 cost=1.5096580982208252 creg=0.38462371826171876
(0.35670000000000002, 0.84440000000000004, 0.98160000000000003)
(0.35210000000000002, 0.82830000000000004, 0.97819999999999996)
*it=3000 cost=1.3195216655731201 creg=0.3827228927612305
(0.39900000000000002, 0.88160000000000005, 0.98680000000000001)
(0.39029999999999998, 0.87050000000000005, 0.98699999999999999)
*it=4000 cost=1.2036641836166382 creg=0.38078182220458984
(0.42149999999999999, 0.90069999999999995, 0.99239999999999995)
(0.43169999999999997, 0.90269999999999995, 0.99160000000000004)
*it=5000 cost=1.1885312795639038 creg=0.3787977600097656
(0.43049999999999999, 0.90690000000000004, 0.9929)
(0.4304, 0.89810000000000001, 0.98909999999999998)
*it=6000 cost=1.4035937786102295 creg=0.3767989730834961
(0.37540000000000001, 0.86240000000000006, 0.98640000000000005)
(0.36699999999999999, 0.85580000000000001, 0.98399999999999999)
*it=7000 cost=1.0873479843139648 creg=0.3747877502441406
(0.45789999999999997, 0.92530000000000001, 0.99409999999999998)
(0.45660000000000001, 0.92459999999999998, 0.99570000000000003)
*it=8000 cost=1.0462201833724976 creg=0.37277458190917967
(0.4778, 0.93300000000000005, 0.99519999999999997)
(0.47420000000000001, 0.9325, 0.99650000000000005)
*it=9000 cost=1.0883795022964478 creg=0.370754508972168
(0.45040000000000002, 0.92559999999999998, 0.99529999999999996)
(0.44379999999999997, 0.92179999999999995, 0.995)
*it=10000 cost=1.020984172821045 creg=0.36875946044921876
(0.47639999999999999, 0.93600000000000005, 0.99650000000000005)
(0.47849999999999998, 0.93589999999999995, 0.99529999999999996)
*it=11000 cost=1.0198545455932617 creg=0.366783447265625
(0.4758, 0.93500000000000005, 0.99639999999999995)
(0.47339999999999999, 0.93049999999999999, 0.99619999999999997)
*it=12000 cost=0.9621143341064453 creg=0.3647692108154297
(0.49180000000000001, 0.9456, 0.99790000000000001)
(0.4879, 0.94310000000000005, 0.99650000000000005)
*it=13000 cost=0.9628510475158691 creg=0.36276481628417967
(0.495, 0.94869999999999999, 0.99760000000000004)
(0.49270000000000003, 0.94450000000000001, 0.99729999999999996)
*it=14000 cost=1.1110374927520752 creg=0.360767707824707
(0.43070000000000003, 0.91759999999999997, 0.99519999999999997)
(0.4304, 0.92349999999999999, 0.99739999999999995)
*it=15000 cost=1.0962783098220825 creg=0.35879287719726566
(0.43580000000000002, 0.92100000000000004, 0.99609999999999999)
(0.42670000000000002, 0.92190000000000005, 0.99590000000000001)
*it=16000 cost=0.9537345767021179 creg=0.35684444427490236
(0.496, 0.94879999999999998, 0.99729999999999996)
(0.49869999999999998, 0.94940000000000002, 0.99729999999999996)
*it=17000 cost=0.9118587970733643 creg=0.35489105224609374
(0.51480000000000004, 0.95569999999999999, 0.99829999999999997)
(0.51539999999999997, 0.9536, 0.99680000000000002)
*it=18000 cost=0.9941736459732056 creg=0.35291973114013675
(0.47310000000000002, 0.94189999999999996, 0.99670000000000003)
(0.48459999999999998, 0.93989999999999996, 0.99709999999999999)
*it=19000 cost=0.9625651836395264 creg=0.35098556518554686
(0.49459999999999998, 0.94279999999999997, 0.997)
(0.49030000000000001, 0.9456, 0.998)
*it=20000 cost=0.9347020387649536 creg=0.3490679168701172
(0.50409999999999999, 0.94799999999999995, 0.99709999999999999)
(0.50249999999999995, 0.94399999999999995, 0.99580000000000002)
*it=21000 cost=0.9068574905395508 creg=0.3471305465698242
(0.51019999999999999, 0.95089999999999997, 0.99860000000000004)
(0.50570000000000004, 0.95489999999999997, 0.99729999999999996)
*it=22000 cost=0.8684077262878418 creg=0.3452103042602539
(0.52159999999999995, 0.96030000000000004, 0.99819999999999998)
(0.52310000000000001, 0.95809999999999995, 0.99760000000000004)
*it=23000 cost=0.8711283206939697 creg=0.34331695556640623
(0.52190000000000003, 0.95489999999999997, 0.99829999999999997)
(0.51600000000000001, 0.95420000000000005, 0.99760000000000004)
*it=24000 cost=0.8948378562927246 creg=0.34143165588378904
(0.50480000000000003, 0.95350000000000001, 0.99790000000000001)
(0.49919999999999998, 0.9546, 0.99780000000000002)
*it=25000 cost=0.8534313440322876 creg=0.33955261230468753
(0.53110000000000002, 0.96079999999999999, 0.99870000000000003)
(0.52349999999999997, 0.96020000000000005, 0.99880000000000002)
*it=26000 cost=0.8779619932174683 creg=0.33767280578613285
(0.50929999999999997, 0.96050000000000002, 0.99880000000000002)
(0.51570000000000005, 0.95660000000000001, 0.99839999999999995)
*it=27000 cost=0.8511373400688171 creg=0.33582588195800783
(0.52390000000000003, 0.9617, 0.99909999999999999)
(0.53239999999999998, 0.96120000000000005, 0.99860000000000004)
*it=28000 cost=0.8842040300369263 creg=0.3340077590942383
(0.51680000000000004, 0.95530000000000004, 0.99760000000000004)
(0.50219999999999998, 0.9496, 0.997)
*it=29000 cost=0.876744270324707 creg=0.3321748733520508
(0.50760000000000005, 0.95809999999999995, 0.99809999999999999)
(0.50819999999999999, 0.95679999999999998, 0.99819999999999998)
*it=30000 cost=0.8147401809692383 creg=0.33038303375244144
(0.5403, 0.96709999999999996, 0.99870000000000003)
(0.53449999999999998, 0.9617, 0.998)
*it=31000 cost=0.8437047004699707 creg=0.3285870742797852
(0.52749999999999997, 0.9597, 0.99909999999999999)
(0.52300000000000002, 0.96179999999999999, 0.99860000000000004)
*it=32000 cost=0.8058075904846191 creg=0.3268033599853516
(0.53900000000000003, 0.96830000000000005, 0.99890000000000001)
(0.53169999999999995, 0.96379999999999999, 0.99809999999999999)
*it=33000 cost=0.8151587247848511 creg=0.3250429916381836
(0.54310000000000003, 0.96450000000000002, 0.99780000000000002)
(0.53049999999999997, 0.9607, 0.99809999999999999)
*it=34000 cost=0.8006511926651001 creg=0.32327266693115236
(0.54169999999999996, 0.96860000000000002, 0.99880000000000002)
(0.53869999999999996, 0.96460000000000001, 0.99850000000000005)
*it=35000 cost=0.8175176978111267 creg=0.3214931869506836
(0.53390000000000004, 0.9657, 0.99870000000000003)
(0.54390000000000005, 0.96379999999999999, 0.99809999999999999)
*it=36000 cost=0.7975826859474182 creg=0.3197639846801758
(0.54279999999999995, 0.96799999999999997, 0.99819999999999998)
(0.53490000000000004, 0.96509999999999996, 0.99909999999999999)
*it=37000 cost=0.7830635905265808 creg=0.3180179023742676
(0.55189999999999995, 0.96940000000000004, 0.99890000000000001)
(0.54859999999999998, 0.9698, 0.99850000000000005)
*it=38000 cost=0.8096081018447876 creg=0.31626935958862307
(0.53139999999999998, 0.96589999999999998, 0.99919999999999998)
(0.53090000000000004, 0.96130000000000004, 0.998)
*it=39000 cost=0.7819028496742249 creg=0.3145456314086914
(0.54610000000000003, 0.97140000000000004, 0.999)
(0.53990000000000005, 0.96550000000000002, 0.99839999999999995)
*it=40000 cost=0.761422872543335 creg=0.31282493591308597
(0.55769999999999997, 0.97109999999999996, 0.99870000000000003)
(0.5444, 0.96509999999999996, 0.99850000000000005)
*it=41000 cost=0.7938798666000366 creg=0.3110911178588867
(0.54279999999999995, 0.9647, 0.99890000000000001)
(0.54379999999999995, 0.96579999999999999, 0.99870000000000003)
*it=42000 cost=0.797288179397583 creg=0.30937345504760744
(0.53610000000000002, 0.96689999999999998, 0.99850000000000005)
(0.53939999999999999, 0.96630000000000005, 0.99880000000000002)
*it=43000 cost=0.7869170904159546 creg=0.30766794204711917
(0.5353, 0.96789999999999998, 0.999)
(0.5403, 0.96689999999999998, 0.99819999999999998)
*it=44000 cost=0.7816330194473267 creg=0.3059638786315918
(0.54249999999999998, 0.97060000000000002, 0.999)
(0.53739999999999999, 0.96689999999999998, 0.99839999999999995)
*it=45000 cost=0.7842603325843811 creg=0.3042932510375977
(0.54830000000000001, 0.96509999999999996, 0.99850000000000005)
(0.53659999999999997, 0.96299999999999997, 0.99909999999999999)
*it=46000 cost=0.7903809547424316 creg=0.30259519577026367
(0.53239999999999998, 0.96970000000000001, 0.99880000000000002)
(0.52549999999999997, 0.96689999999999998, 0.99870000000000003)
*it=47000 cost=0.7526290416717529 creg=0.3009333038330078
(0.55979999999999996, 0.96970000000000001, 0.99860000000000004)
(0.55469999999999997, 0.97050000000000003, 0.99839999999999995)
*it=48000 cost=0.727198600769043 creg=0.2992658042907715
(0.56430000000000002, 0.97829999999999995, 0.99909999999999999)
(0.56479999999999997, 0.97360000000000002, 0.99929999999999997)
*it=49000 cost=0.7241758108139038 creg=0.29761705398559574
(0.57130000000000003, 0.9768, 0.99929999999999997)
(0.55800000000000005, 0.97740000000000005, 0.99939999999999996)
*it=50000 cost=0.746182382106781 creg=0.29596456527709963
(0.55389999999999995, 0.97340000000000004, 0.999)
(0.55130000000000001, 0.97289999999999999, 0.999)
*it=51000 cost=0.7265089154243469 creg=0.29433860778808596
(0.56440000000000001, 0.97570000000000001, 0.99919999999999998)
(0.55769999999999997, 0.96789999999999998, 0.99790000000000001)
