*it=0 cost=1.2426984310150146 creg=0.12673192024230956
(0.36309999999999998, 0.84399999999999997, 0.98089999999999999)
(0.37069999999999997, 0.85029999999999994, 0.98219999999999996)
*it=1000 cost=1.013339877128601 creg=0.1266495704650879
(0.40479999999999999, 0.89270000000000005, 0.9899)
(0.40920000000000001, 0.89249999999999996, 0.99029999999999996)
*it=2000 cost=0.9096522331237793 creg=0.12637797355651856
(0.43049999999999999, 0.91190000000000004, 0.99409999999999998)
(0.433, 0.90329999999999999, 0.99250000000000005)
*it=3000 cost=0.9007058143615723 creg=0.12601567268371583
(0.44740000000000002, 0.91080000000000005, 0.99370000000000003)
(0.42849999999999999, 0.90800000000000003, 0.99270000000000003)
*it=4000 cost=0.7873181700706482 creg=0.12562013626098634
(0.47349999999999998, 0.9345, 0.99639999999999995)
(0.46479999999999999, 0.93559999999999999, 0.99529999999999996)
*it=5000 cost=0.763268232345581 creg=0.12520627975463866
(0.47839999999999999, 0.9385, 0.997)
(0.47849999999999998, 0.93359999999999999, 0.99590000000000001)
*it=6000 cost=0.7617778778076172 creg=0.12477179527282715
(0.47870000000000001, 0.93979999999999997, 0.99629999999999996)
(0.47410000000000002, 0.93640000000000001, 0.99529999999999996)
*it=7000 cost=0.7452949285507202 creg=0.1243185329437256
(0.4839, 0.94210000000000005, 0.99729999999999996)
(0.47989999999999999, 0.93959999999999999, 0.99770000000000003)
*it=8000 cost=0.715787947177887 creg=0.12387146949768067
(0.50129999999999997, 0.94940000000000002, 0.99660000000000004)
(0.498, 0.94579999999999997, 0.99719999999999998)
*it=9000 cost=0.777614951133728 creg=0.12338853836059571
(0.46589999999999998, 0.93530000000000002, 0.99719999999999998)
(0.46179999999999999, 0.93379999999999996, 0.99580000000000002)
*it=10000 cost=0.7038304805755615 creg=0.12293658256530762
(0.50180000000000002, 0.95020000000000004, 0.99739999999999995)
(0.4924, 0.94989999999999997, 0.997)
*it=11000 cost=0.6830807328224182 creg=0.12247387886047363
(0.50580000000000003, 0.95369999999999999, 0.99829999999999997)
(0.50490000000000002, 0.94720000000000004, 0.99780000000000002)
*it=12000 cost=0.6941485404968262 creg=0.12198760986328125
(0.50260000000000005, 0.95109999999999995, 0.99790000000000001)
(0.49830000000000002, 0.94720000000000004, 0.99670000000000003)
*it=13000 cost=0.6384009122848511 creg=0.12151046752929688
(0.51839999999999997, 0.96279999999999999, 0.99839999999999995)
(0.52459999999999996, 0.96109999999999995, 0.99870000000000003)
*it=14000 cost=0.6844695806503296 creg=0.12101872444152832
(0.50600000000000001, 0.95130000000000003, 0.99850000000000005)
(0.50139999999999996, 0.95640000000000003, 0.99829999999999997)
*it=15000 cost=0.8120811581611633 creg=0.12053386688232422
