*it=0 cost=4.627851486206055 creg=2.8611158370971683
(0.2757, 0.72860000000000003, 0.94550000000000001)
(0.28249999999999997, 0.74260000000000004, 0.94779999999999998)
*it=1000 cost=3.93396258354187 creg=2.8193891525268557
(0.37159999999999999, 0.8478, 0.98160000000000003)
(0.36680000000000001, 0.84319999999999995, 0.98019999999999996)
*it=2000 cost=3.6555380821228027 creg=2.777296829223633
(0.41170000000000001, 0.89580000000000004, 0.99080000000000001)
(0.40600000000000003, 0.88880000000000003, 0.98919999999999997)
*it=3000 cost=3.7447080612182617 creg=2.7356210708618165
(0.38080000000000003, 0.86470000000000002, 0.9859)
(0.37, 0.86119999999999997, 0.98529999999999995)
*it=4000 cost=3.516741991043091 creg=2.694572639465332
(0.42830000000000001, 0.90639999999999998, 0.99180000000000001)
(0.43130000000000002, 0.90910000000000002, 0.99160000000000004)
*it=5000 cost=3.459847927093506 creg=2.653914451599121
(0.4289, 0.9083, 0.99239999999999995)
(0.44230000000000003, 0.90359999999999996, 0.99080000000000001)
*it=6000 cost=3.3199269771575928 creg=2.613816833496094
(0.45850000000000002, 0.92689999999999995, 0.99409999999999998)
(0.45229999999999998, 0.91930000000000001, 0.99439999999999995)
*it=7000 cost=3.2965517044067383 creg=2.574248504638672
(0.44879999999999998, 0.92230000000000001, 0.99509999999999998)
(0.4446, 0.92369999999999997, 0.99619999999999997)
*it=8000 cost=3.291930913925171 creg=2.5352695465087893
(0.43740000000000001, 0.91839999999999999, 0.99390000000000001)
(0.44400000000000001, 0.92459999999999998, 0.99539999999999995)
*it=9000 cost=3.2076945304870605 creg=2.496842384338379
(0.45250000000000001, 0.92600000000000005, 0.99629999999999996)
(0.44259999999999999, 0.92110000000000003, 0.99570000000000003)
*it=10000 cost=3.1038436889648438 creg=2.4590227127075197
(0.48159999999999997, 0.93720000000000003, 0.99619999999999997)
(0.47449999999999998, 0.93959999999999999, 0.99639999999999995)
*it=11000 cost=3.0286242961883545 creg=2.421764183044434
(0.49859999999999999, 0.9456, 0.99670000000000003)
(0.48780000000000001, 0.94089999999999996, 0.99619999999999997)
*it=12000 cost=2.971073865890503 creg=2.384995460510254
(0.49399999999999999, 0.94699999999999995, 0.99790000000000001)
(0.49149999999999999, 0.94610000000000005, 0.99690000000000001)
*it=13000 cost=2.9227097034454346 creg=2.3488121032714844
(0.50129999999999997, 0.9526, 0.99719999999999998)
(0.50180000000000002, 0.95140000000000002, 0.99690000000000001)
*it=14000 cost=3.0018465518951416 creg=2.3131505966186525
(0.45069999999999999, 0.92969999999999997, 0.99650000000000005)
(0.4607, 0.93330000000000002, 0.99650000000000005)
*it=15000 cost=2.9116694927215576 creg=2.27803955078125
(0.47170000000000001, 0.9415, 0.99790000000000001)
(0.4592, 0.93769999999999998, 0.99639999999999995)
*it=16000 cost=2.793346405029297 creg=2.243498420715332
(0.51219999999999999, 0.95779999999999998, 0.99729999999999996)
(0.51149999999999995, 0.9546, 0.997)
