*it=0 cost=2.4620866775512695 creg=0.7562957763671876
(0.25869999999999999, 0.73799999999999999, 0.95499999999999996)
(0.27089999999999997, 0.7419, 0.95899999999999996)
*it=1000 cost=2.2039453983306885 creg=0.7470125198364258
(0.28949999999999998, 0.77959999999999996, 0.97009999999999996)
(0.28520000000000001, 0.77349999999999997, 0.96799999999999997)
*it=2000 cost=1.5928404331207275 creg=0.7372618675231934
(0.41520000000000001, 0.89739999999999998, 0.99309999999999998)
(0.40429999999999999, 0.88600000000000001, 0.99129999999999996)
*it=3000 cost=1.5340018272399902 creg=0.7273382186889649
(0.43290000000000001, 0.90590000000000004, 0.99329999999999996)
(0.42099999999999999, 0.89970000000000006, 0.99260000000000004)
*it=4000 cost=1.4321831464767456 creg=0.7174905300140382
(0.4577, 0.92279999999999995, 0.99529999999999996)
(0.44500000000000001, 0.92290000000000005, 0.99460000000000004)
*it=5000 cost=1.3515535593032837 creg=0.7076201438903809
(0.47820000000000001, 0.93459999999999999, 0.997)
(0.4803, 0.93320000000000003, 0.99539999999999995)
*it=6000 cost=1.3159394264221191 creg=0.6978340148925781
(0.49299999999999999, 0.94410000000000005, 0.99639999999999995)
(0.47320000000000001, 0.93510000000000004, 0.99539999999999995)
*it=7000 cost=1.2980725765228271 creg=0.6880924701690674
(0.49199999999999999, 0.94389999999999996, 0.99790000000000001)
(0.49130000000000001, 0.94169999999999998, 0.99719999999999998)
*it=8000 cost=1.362638235092163 creg=0.6785032749176025
(0.46260000000000001, 0.93110000000000004, 0.99650000000000005)
(0.46800000000000003, 0.93479999999999996, 0.99670000000000003)
*it=9000 cost=1.2245930433273315 creg=0.6689989566802979
(0.51319999999999999, 0.95540000000000003, 0.99790000000000001)
(0.49940000000000001, 0.95269999999999999, 0.99729999999999996)
*it=10000 cost=1.284717082977295 creg=0.6596524238586426
(0.49590000000000001, 0.93930000000000002, 0.99670000000000003)
(0.48299999999999998, 0.93830000000000002, 0.996)
*it=11000 cost=1.1810176372528076 creg=0.6503779888153076
(0.51629999999999998, 0.96040000000000003, 0.99839999999999995)
(0.51449999999999996, 0.95509999999999995, 0.99829999999999997)
*it=12000 cost=1.2367626428604126 creg=0.641220760345459
(0.49220000000000003, 0.94730000000000003, 0.99790000000000001)
(0.48270000000000002, 0.94379999999999997, 0.99660000000000004)
*it=13000 cost=1.1608768701553345 creg=0.6322430610656739
(0.51700000000000002, 0.96089999999999998, 0.99790000000000001)
(0.51329999999999998, 0.95679999999999998, 0.997)
*it=14000 cost=1.1564885377883911 creg=0.6233344554901123
(0.51300000000000001, 0.95830000000000004, 0.99829999999999997)
(0.52200000000000002, 0.95489999999999997, 0.99780000000000002)
*it=15000 cost=1.1268632411956787 creg=0.6145853996276855
(0.51639999999999997, 0.96409999999999996, 0.99909999999999999)
(0.51770000000000005, 0.9627, 0.99839999999999995)
*it=16000 cost=1.1367946863174438 creg=0.6059619903564454
(0.52400000000000002, 0.95979999999999999, 0.99780000000000002)
(0.51170000000000004, 0.95669999999999999, 0.99819999999999998)
*it=17000 cost=1.1527459621429443 creg=0.5974338531494141
(0.49919999999999998, 0.95669999999999999, 0.99829999999999997)
(0.4763, 0.94469999999999998, 0.99770000000000003)
*it=18000 cost=1.087221622467041 creg=0.5891058921813965
(0.53849999999999998, 0.96399999999999997, 0.99829999999999997)
(0.5353, 0.96189999999999998, 0.998)
*it=19000 cost=1.0750418901443481 creg=0.5808279991149903
(0.53590000000000004, 0.96430000000000005, 0.99829999999999997)
(0.53259999999999996, 0.96150000000000002, 0.99839999999999995)
*it=20000 cost=1.0465514659881592 creg=0.5727083206176758
(0.54700000000000004, 0.96730000000000005, 0.99839999999999995)
(0.54279999999999995, 0.96419999999999995, 0.99860000000000004)
*it=21000 cost=1.0257598161697388 creg=0.5647059440612793
(0.55120000000000002, 0.9698, 0.99960000000000004)
(0.53700000000000003, 0.96730000000000005, 0.99770000000000003)
*it=22000 cost=1.1011831760406494 creg=0.5568661212921143
(0.50560000000000005, 0.95699999999999996, 0.99880000000000002)
(0.51229999999999998, 0.95679999999999998, 0.99829999999999997)
*it=23000 cost=1.1533985137939453 creg=0.5491787910461426
(0.48330000000000001, 0.9456, 0.99809999999999999)
(0.46600000000000003, 0.93730000000000002, 0.99660000000000004)
*it=24000 cost=1.0563445091247559 creg=0.5415460109710694
(0.51819999999999999, 0.96250000000000002, 0.99880000000000002)
(0.50990000000000002, 0.96050000000000002, 0.99839999999999995)
*it=25000 cost=1.0093250274658203 creg=0.5340133666992187
(0.5393, 0.96909999999999996, 0.999)
(0.53000000000000003, 0.9657, 0.99909999999999999)
*it=26000 cost=1.2950043678283691 creg=0.5266013622283936
(0.39939999999999998, 0.91600000000000004, 0.998)
(0.40970000000000001, 0.92159999999999997, 0.99570000000000003)
