*it=0 cost=4.619306564331055 creg=2.8683563232421876
(0.3024, 0.75319999999999998, 0.93979999999999997)
(0.30919999999999997, 0.75490000000000002, 0.94120000000000004)
*it=1000 cost=4.6079816818237305 creg=2.8278884887695312
(0.29930000000000001, 0.74539999999999995, 0.93910000000000005)
(0.30249999999999999, 0.75060000000000004, 0.9385)
*it=2000 cost=4.0697526931762695 creg=2.7864612579345707
(0.36020000000000002, 0.82550000000000001, 0.96889999999999998)
(0.34570000000000001, 0.81310000000000004, 0.96760000000000002)
*it=3000 cost=4.158203601837158 creg=2.7451885223388675
(0.34489999999999998, 0.80210000000000004, 0.95950000000000002)
(0.33939999999999998, 0.79979999999999996, 0.95640000000000003)
*it=4000 cost=3.9518728256225586 creg=2.7043451309204105
(0.36009999999999998, 0.83130000000000004, 0.96950000000000003)
(0.35930000000000001, 0.83260000000000001, 0.97109999999999996)
*it=5000 cost=3.890906572341919 creg=2.6638965606689453
(0.36520000000000002, 0.83819999999999995, 0.97030000000000005)
(0.36959999999999998, 0.83819999999999995, 0.97130000000000005)
*it=6000 cost=3.7667832374572754 creg=2.624037551879883
(0.38840000000000002, 0.84830000000000005, 0.97340000000000004)
(0.38800000000000001, 0.85270000000000001, 0.97499999999999998)
*it=7000 cost=4.185108184814453 creg=2.5847396850585938
(0.31490000000000001, 0.76419999999999999, 0.95309999999999995)
(0.31659999999999999, 0.77049999999999996, 0.95430000000000004)
*it=8000 cost=4.1384782791137695 creg=2.5459299087524414
(0.30470000000000003, 0.76819999999999999, 0.9536)
(0.29509999999999997, 0.7651, 0.95660000000000001)
*it=9000 cost=3.7058072090148926 creg=2.5077245712280276
(0.3735, 0.83909999999999996, 0.97270000000000001)
(0.3649, 0.83160000000000001, 0.97189999999999999)
*it=10000 cost=3.5157787799835205 creg=2.470036888122559
(0.39489999999999997, 0.86529999999999996, 0.97840000000000005)
(0.39629999999999999, 0.8589, 0.97850000000000004)
*it=11000 cost=3.484912395477295 creg=2.4328687667846682
(0.40649999999999997, 0.87239999999999995, 0.97840000000000005)
(0.40649999999999997, 0.86909999999999998, 0.97770000000000001)
*it=12000 cost=3.4543423652648926 creg=2.3961700439453124
(0.40439999999999998, 0.86570000000000003, 0.97819999999999996)
(0.39279999999999998, 0.86240000000000006, 0.97870000000000001)
*it=13000 cost=3.4938855171203613 creg=2.360148048400879
(0.3851, 0.85460000000000003, 0.97609999999999997)
(0.38779999999999998, 0.85750000000000004, 0.97689999999999999)
*it=14000 cost=3.416995048522949 creg=2.3246082305908202
